,id,original_title,original_language,release_date,popularity,vote_average,vote_count,media_type,adult
6383,76600,Avatar: The Way of Water,English,12/14/2022,10224.28,7.742,6335,movie,FALSE
6384,849869,길복순,Korean,2/17/2023,33.985,6.9,39,movie,FALSE
6385,603692,John Wick: Chapter 4,English,3/22/2023,2569.508,8.161,635,movie,FALSE
6386,493529,Dungeons & Dragons: Honor Among Thieves,English,3/23/2023,702.523,7.598,128,movie,FALSE
6387,932430,Prom Pact,English,3/30/2023,85.403,8,10,movie,FALSE
6388,95558,,English,,64.625,8,8,tv,FALSE
6389,816904,Momias,Spain,1/5/2023,1224.45,7.008,64,movie,FALSE
6390,514999,Murder Mystery,English,5/25/2019,197.421,6.252,3642,movie,FALSE
6391,1049638,Rye Lane,English,3/17/2023,30.374,7.778,18,movie,FALSE
6392,739405,Operation Fortune: Ruse de Guerre,English,1/4/2023,184.229,6.721,297,movie,FALSE
6393,158876,,Chinese,,58.304,8.4,9,tv,FALSE
6394,921355,Assassin,English,3/31/2023,80.805,4.8,11,movie,FALSE
6395,117465,,Japanese,,62.392,10,4,tv,FALSE
6396,933419,Champions,English,3/9/2023,104.315,6.512,43,movie,FALSE
6397,208891,,Japanese,,59.825,8.667,3,tv,FALSE
6398,878375,On a Wing and a Prayer,English,4/6/2023,53.714,8,4,movie,FALSE
6399,82856,,English,,1108.646,8.488,8697,tv,FALSE
6400,638974,Murder Mystery 2,English,3/26/2023,235.901,6.8,187,movie,FALSE
6401,677179,Creed III,English,3/1/2023,1537.879,7.2,561,movie,FALSE
6402,726759,Tetris,English,3/15/2023,66.661,7.7,100,movie,FALSE
6403,76600,Avatar: The Way of Water,English,12/14/2022,10224.28,7.742,6335,movie,FALSE
6404,849869,길복순,Korean,2/17/2023,33.985,6.9,39,movie,FALSE
6405,603692,John Wick: Chapter 4,English,3/22/2023,2569.508,8.161,635,movie,FALSE
6406,493529,Dungeons & Dragons: Honor Among Thieves,English,3/23/2023,702.523,7.598,128,movie,FALSE
6407,932430,Prom Pact,English,3/30/2023,85.403,8,10,movie,FALSE
6408,95558,,English,,64.625,8,8,tv,FALSE
6409,816904,Momias,Spain,1/5/2023,1224.45,7.008,64,movie,FALSE
6410,514999,Murder Mystery,English,5/25/2019,197.421,6.252,3642,movie,FALSE
6411,1049638,Rye Lane,English,3/17/2023,30.374,7.778,18,movie,FALSE
6412,739405,Operation Fortune: Ruse de Guerre,English,1/4/2023,184.229,6.721,297,movie,FALSE
6413,158876,,Chinese,,58.304,8.4,9,tv,FALSE
6414,921355,Assassin,English,3/31/2023,80.805,4.8,11,movie,FALSE
6415,117465,,Japanese,,62.392,10,4,tv,FALSE
6416,933419,Champions,English,3/9/2023,104.315,6.512,43,movie,FALSE
